number, label
0001, 70
0002, 89
0003, 58
0004, 41
0005, 30
0006, 71
0007, 79
0008, 98
0009, 59
0010, 11
0011, 68
0012, 64
0013, 30
0014, 47
0015, 96
0016, 96
0017, 55
0018, 23
0019, 11
0020, 50
0021, 36
0022, 45
0023, 12
0024, 21
0025, 65
0026, 48
0027, 70
0028, 76
0029, 72
0030, 42
0031, 21
0032, 92
0033, 16
0034, 2
0035, 54
0036, 20
0037, 23
0038, 22
0039, 64
0040, 18
0041, 81
0042, 28
0043, 43
0044, 81
0045, 46
0046, 82
0047, 55
0048, 4
0049, 90
0050, 9
0051, 71
0052, 59
0053, 42
0054, 25
0055, 55
0056, 50
0057, 63
0058, 41
0059, 49
0060, 44
0061, 66
0062, 2
0063, 75
0064, 10
0065, 92
0066, 33
0067, 79
0068, 51
0069, 1
0070, 6
0071, 98
0072, 96
0073, 32
0074, 20
0075, 23
0076, 15
0077, 40
0078, 74
0079, 31
0080, 42
0081, 60
0082, 21
0083, 0
0084, 46
0085, 99
0086, 68
0087, 10
0088, 79
0089, 21
0090, 93
0091, 82
0092, 91
0093, 3
0094, 22
0095, 91
0096, 33
0097, 25
0098, 21
0099, 84
0100, 6
0101, 79
0102, 74
0103, 30
0104, 6
0105, 33
0106, 39
0107, 61
0108, 69
0109, 55
0110, 83
0111, 13
0112, 81
0113, 39
0114, 64
0115, 60
0116, 60
0117, 55
0118, 52
0119, 28
0120, 4
0121, 10
0122, 11
0123, 68
0124, 74
0125, 65
0126, 61
0127, 98
0128, 17
0129, 23
0130, 93
0131, 42
0132, 80
0133, 85
0134, 94
0135, 13
0136, 33
0137, 57
0138, 1
0139, 42
0140, 67
0141, 9
0142, 77
0143, 19
0144, 91
0145, 31
0146, 31
0147, 2
0148, 7
0149, 66
0150, 82
0151, 0
0152, 67
0153, 66
0154, 3
0155, 8
0156, 59
0157, 27
0158, 4
0159, 50
0160, 47
0161, 94
0162, 63
0163, 79
0164, 34
0165, 55
0166, 34
0167, 73
0168, 12
0169, 83
0170, 4
0171, 48
0172, 46
0173, 75
0174, 38
0175, 21
0176, 39
0177, 29
0178, 67
0179, 32
0180, 27
0181, 27
0182, 4
0183, 40
0184, 33
0185, 22
0186, 20
0187, 86
0188, 26
0189, 18
0190, 99
0191, 80
0192, 55
0193, 82
0194, 23
0195, 42
0196, 43
0197, 22
0198, 56
0199, 97
0200, 76
0201, 88
0202, 28
0203, 13
0204, 73
0205, 55
0206, 61
0207, 55
0208, 0
0209, 15
0210, 38
0211, 23
0212, 64
0213, 70
0214, 7
0215, 55
0216, 35
0217, 86
0218, 90
0219, 15
0220, 36
0221, 73
0222, 62
0223, 42
0224, 3
0225, 2
0226, 24
0227, 37
0228, 67
0229, 7
0230, 55
0231, 33
0232, 39
0233, 46
0234, 5
0235, 57
0236, 57
0237, 18
0238, 88
0239, 55
0240, 32
0241, 71
0242, 80
0243, 11
0244, 2
0245, 68
0246, 57
0247, 4
0248, 24
0249, 86
0250, 39
0251, 90
0252, 50
0253, 96
0254, 56
0255, 51
0256, 99
0257, 50
0258, 97
0259, 97
