number, label
0001, 70
0002, 42
0003, 58
0004, 41
0005, 27
0006, 60
0007, 7
0008, 35
0009, 96
0010, 11
0011, 71
0012, 97
0013, 30
0014, 47
0015, 96
0016, 47
0017, 30
0018, 47
0019, 27
0020, 50
0021, 36
0022, 27
0023, 12
0024, 23
0025, 23
0026, 48
0027, 70
0028, 76
0029, 72
0030, 96
0031, 21
0032, 92
0033, 16
0034, 35
0035, 54
0036, 20
0037, 97
0038, 22
0039, 64
0040, 18
0041, 37
0042, 28
0043, 43
0044, 81
0045, 31
0046, 82
0047, 25
0048, 74
0049, 90
0050, 80
0051, 71
0052, 59
0053, 31
0054, 76
0055, 97
0056, 50
0057, 63
0058, 41
0059, 30
0060, 44
0061, 96
0062, 35
0063, 75
0064, 10
0065, 51
0066, 23
0067, 72
0068, 51
0069, 1
0070, 6
0071, 98
0072, 96
0073, 32
0074, 20
0075, 74
0076, 79
0077, 40
0078, 24
0079, 31
0080, 42
0081, 60
0082, 21
0083, 0
0084, 46
0085, 44
0086, 68
0087, 10
0088, 66
0089, 21
0090, 77
0091, 82
0092, 73
0093, 4
0094, 22
0095, 18
0096, 96
0097, 25
0098, 21
0099, 79
0100, 3
0101, 79
0102, 50
0103, 30
0104, 6
0105, 33
0106, 39
0107, 61
0108, 69
0109, 55
0110, 83
0111, 13
0112, 13
0113, 39
0114, 64
0115, 60
0116, 71
0117, 79
0118, 96
0119, 16
0120, 72
0121, 32
0122, 11
0123, 68
0124, 74
0125, 2
0126, 22
0127, 51
0128, 17
0129, 88
0130, 93
0131, 96
0132, 94
0133, 85
0134, 94
0135, 13
0136, 97
0137, 57
0138, 1
0139, 63
0140, 67
0141, 9
0142, 57
0143, 19
0144, 91
0145, 31
0146, 27
0147, 11
0148, 7
0149, 66
0150, 82
0151, 0
0152, 96
0153, 66
0154, 3
0155, 8
0156, 49
0157, 27
0158, 79
0159, 31
0160, 47
0161, 10
0162, 63
0163, 26
0164, 34
0165, 34
0166, 34
0167, 73
0168, 12
0169, 70
0170, 72
0171, 48
0172, 46
0173, 75
0174, 38
0175, 21
0176, 39
0177, 29
0178, 67
0179, 32
0180, 27
0181, 96
0182, 4
0183, 40
0184, 17
0185, 22
0186, 20
0187, 6
0188, 1
0189, 18
0190, 18
0191, 71
0192, 27
0193, 82
0194, 23
0195, 34
0196, 43
0197, 87
0198, 56
0199, 80
0200, 76
0201, 54
0202, 28
0203, 4
0204, 73
0205, 55
0206, 10
0207, 55
0208, 0
0209, 15
0210, 38
0211, 72
0212, 64
0213, 70
0214, 7
0215, 89
0216, 35
0217, 86
0218, 81
0219, 55
0220, 36
0221, 73
0222, 62
0223, 34
0224, 3
0225, 2
0226, 24
0227, 37
0228, 67
0229, 7
0230, 84
0231, 96
0232, 39
0233, 46
0234, 5
0235, 57
0236, 57
0237, 7
0238, 88
0239, 27
0240, 46
0241, 71
0242, 57
0243, 11
0244, 67
0245, 68
0246, 2
0247, 55
0248, 24
0249, 86
0250, 39
0251, 90
0252, 32
0253, 33
0254, 76
0255, 51
0256, 99
0257, 38
0258, 80
0259, 97
0260, 27
0261, 75
0262, 15
0263, 36
0264, 96
0265, 37
0266, 4
0267, 64
0268, 96
0269, 48
0270, 15
0271, 45
0272, 30
0273, 61
0274, 12
0275, 53
0276, 78
0277, 80
0278, 4
0279, 23
0280, 3
0281, 91
0282, 51
0283, 51
0284, 60
0285, 55
0286, 50
0287, 8
0288, 82
0289, 30
0290, 94
0291, 84
0292, 66
0293, 35
0294, 94
0295, 4
0296, 66
0297, 50
0298, 95
0299, 50
0300, 80
0301, 87
0302, 35
0303, 93
0304, 42
0305, 55
0306, 25
0307, 73
0308, 15
0309, 89
0310, 50
0311, 21
0312, 19
0313, 71
0314, 18
0315, 13
0316, 35
0317, 71
0318, 43
0319, 70
0320, 0
0321, 30
0322, 33
0323, 35
0324, 72
0325, 84
0326, 4
0327, 96
0328, 18
0329, 71
0330, 43
0331, 53
0332, 9
0333, 26
0334, 70
0335, 96
0336, 59
0337, 27
0338, 59
0339, 27
0340, 59
0341, 89
0342, 50
0343, 66
0344, 83
0345, 7
0346, 12
0347, 28
0348, 78
0349, 9
0350, 79
0351, 0
0352, 86
0353, 55
0354, 24
0355, 51
0356, 31
0357, 60
0358, 42
0359, 73
0360, 24
0361, 12
0362, 42
0363, 90
0364, 10
0365, 83
0366, 19
0367, 24
0368, 34
0369, 50
0370, 67
0371, 55
0372, 44
0373, 70
0374, 63
0375, 9
0376, 61
0377, 53
0378, 2
0379, 45
0380, 4
0381, 85
0382, 81
0383, 15
0384, 52
0385, 49
0386, 90
0387, 79
0388, 87
0389, 97
0390, 30
0391, 90
0392, 85
0393, 21
0394, 92
0395, 95
0396, 84
0397, 49
0398, 78
0399, 96
0400, 97
0401, 11
0402, 42
0403, 22
0404, 36
0405, 97
0406, 34
0407, 79
0408, 55
0409, 17
0410, 56
0411, 10
0412, 78
0413, 73
0414, 96
0415, 97
0416, 39
0417, 24
0418, 94
0419, 28
0420, 1
0421, 96
0422, 56
0423, 95
0424, 97
0425, 10
0426, 81
0427, 79
0428, 97
0429, 77
0430, 37
0431, 48
0432, 17
0433, 58
0434, 55
0435, 84
0436, 85
0437, 4
0438, 27
0439, 72
0440, 31
0441, 19
0442, 81
0443, 75
0444, 44
0445, 8
0446, 16
0447, 27
0448, 69
0449, 62
0450, 33
0451, 32
0452, 27
0453, 74
0454, 21
0455, 23
0456, 22
0457, 31
0458, 90
0459, 59
0460, 79
0461, 33
0462, 94
0463, 95
0464, 4
0465, 77
0466, 81
0467, 60
0468, 18
0469, 37
0470, 58
0471, 38
0472, 31
0473, 92
0474, 55
0475, 50
0476, 85
0477, 50
0478, 42
0479, 75
0480, 14
0481, 28
0482, 38
0483, 11
0484, 97
0485, 2
0486, 5
0487, 72
0488, 19
0489, 18
0490, 63
0491, 60
0492, 74
0493, 88
0494, 18
0495, 0
0496, 40
0497, 98
0498, 93
0499, 10
0500, 0
0501, 85
0502, 37
0503, 82
0504, 79
0505, 46
0506, 70
0507, 48
0508, 31
0509, 3
0510, 22
0511, 3
0512, 51
0513, 55
0514, 71
0515, 16
0516, 52
0517, 81
0518, 10
0519, 46
0520, 95
0521, 96
0522, 4
0523, 40
0524, 38
0525, 96
0526, 14
0527, 29
0528, 23
0529, 80
0530, 94
0531, 98
0532, 5
0533, 24
0534, 80
0535, 27
0536, 93
0537, 41
0538, 55
0539, 79
0540, 18
0541, 96
0542, 37
0543, 84
0544, 87
0545, 36
0546, 50
0547, 64
0548, 96
0549, 71
0550, 80
0551, 15
0552, 4
0553, 74
0554, 60
0555, 12
0556, 44
0557, 39
0558, 24
0559, 55
0560, 1
0561, 27
0562, 44
0563, 17
0564, 27
0565, 49
0566, 10
0567, 60
0568, 17
0569, 59
0570, 92
0571, 93
0572, 85
0573, 48
0574, 90
0575, 48
0576, 65
0577, 58
0578, 97
0579, 58
0580, 23
0581, 10
0582, 24
0583, 66
0584, 79
0585, 55
0586, 14
0587, 35
0588, 63
0589, 51
0590, 71
0591, 58
0592, 5
0593, 44
0594, 23
0595, 33
0596, 50
0597, 14
0598, 61
0599, 3
0600, 33
0601, 22
0602, 95
0603, 16
0604, 27
0605, 8
0606, 63
0607, 76
0608, 6
0609, 44
0610, 10
0611, 54
0612, 37
0613, 20
0614, 45
0615, 15
0616, 50
0617, 71
0618, 94
0619, 50
0620, 19
0621, 36
0622, 47
0623, 29
0624, 50
0625, 62
0626, 90
0627, 34
0628, 5
0629, 7
0630, 69
0631, 35
0632, 68
0633, 51
0634, 33
0635, 70
0636, 68
0637, 0
0638, 4
0639, 20
0640, 14
0641, 4
0642, 44
0643, 12
0644, 64
0645, 91
0646, 6
0647, 6
0648, 2
0649, 7
0650, 80
0651, 91
0652, 10
0653, 65
0654, 7
0655, 27
0656, 40
0657, 69
0658, 4
0659, 73
0660, 31
0661, 17
0662, 41
0663, 67
0664, 37
0665, 97
0666, 71
0667, 96
0668, 97
0669, 27
0670, 18
0671, 41
0672, 23
0673, 37
0674, 82
0675, 5
0676, 27
0677, 49
0678, 51
0679, 16
0680, 75
0681, 8
0682, 6
0683, 97
0684, 7
0685, 32
0686, 79
0687, 79
0688, 12
0689, 77
0690, 85
0691, 50
0692, 81
0693, 56
0694, 69
0695, 47
0696, 35
0697, 23
0698, 54
0699, 12
0700, 4
0701, 25
0702, 17
0703, 15
0704, 80
0705, 26
0706, 28
0707, 15
0708, 79
0709, 68
0710, 28
0711, 31
0712, 50
0713, 58
0714, 54
0715, 1
0716, 42
0717, 94
0718, 36
0719, 63
0720, 55
0721, 81
0722, 79
0723, 48
0724, 88
0725, 99
0726, 27
0727, 19
0728, 23
0729, 80
0730, 66
0731, 89
0732, 97
0733, 27
0734, 38
0735, 28
0736, 21
0737, 9
0738, 35
0739, 87
0740, 96
0741, 70
0742, 66
0743, 33
0744, 26
0745, 94
0746, 90
0747, 97
0748, 18
0749, 99
0750, 57
0751, 20
0752, 27
0753, 12
0754, 41
0755, 66
0756, 4
0757, 50
0758, 32
0759, 78
0760, 10
0761, 34
0762, 90
0763, 5
0764, 83
0765, 38
0766, 87
0767, 37
0768, 47
0769, 59
0770, 52
0771, 64
0772, 41
0773, 50
0774, 8
0775, 60
0776, 92
0777, 96
0778, 96
0779, 0
0780, 55
0781, 63
0782, 36
0783, 64
0784, 84
0785, 78
0786, 1
0787, 54
0788, 24
0789, 29
0790, 76
0791, 55
0792, 29
0793, 48
0794, 66
0795, 61
0796, 3
0797, 23
0798, 81
0799, 1
0800, 74
0801, 93
0802, 72
0803, 68
0804, 30
0805, 27
0806, 30
0807, 65
0808, 56
0809, 23
0810, 93
0811, 35
0812, 90
0813, 74
0814, 29
0815, 59
0816, 95
0817, 12
0818, 9
0819, 50
0820, 21
0821, 44
0822, 46
0823, 22
0824, 81
0825, 31
0826, 5
0827, 90
0828, 90
0829, 11
0830, 71
0831, 35
0832, 24
0833, 39
0834, 61
0835, 51
0836, 20
0837, 52
0838, 29
0839, 27
0840, 9
0841, 86
0842, 92
0843, 45
0844, 42
0845, 6
0846, 50
0847, 96
0848, 55
0849, 12
0850, 91
0851, 31
0852, 90
0853, 2
0854, 97
0855, 54
0856, 14
0857, 49
0858, 39
0859, 31
0860, 11
0861, 80
0862, 27
0863, 98
0864, 4
0865, 48
0866, 82
0867, 82
0868, 64
0869, 86
0870, 76
0871, 51
0872, 20
0873, 97
0874, 92
0875, 55
0876, 12
0877, 14
0878, 71
0879, 64
0880, 88
0881, 9
0882, 97
0883, 77
0884, 70
0885, 94
0886, 48
0887, 80
0888, 33
0889, 96
0890, 36
0891, 23
0892, 67
0893, 8
0894, 66
0895, 7
0896, 74
0897, 67
0898, 81
0899, 12
0900, 96
0901, 0
0902, 11
0903, 55
0904, 17
0905, 52
0906, 81
0907, 21
0908, 12
0909, 40
0910, 76
0911, 3
0912, 91
0913, 17
0914, 88
0915, 65
0916, 67
0917, 58
0918, 24
0919, 35
0920, 71
0921, 33
0922, 11
0923, 89
0924, 79
0925, 51
0926, 30
0927, 90
0928, 27
0929, 9
0930, 10
0931, 68
0932, 13
0933, 71
0934, 23
0935, 58
0936, 4
0937, 1
0938, 67
0939, 4
0940, 94
0941, 20
0942, 99
0943, 71
0944, 55
0945, 80
0946, 13
0947, 46
0948, 4
0949, 53
0950, 99
0951, 26
0952, 90
0953, 14
0954, 20
0955, 29
0956, 87
0957, 48
0958, 51
0959, 30
0960, 96
0961, 49
0962, 27
0963, 85
0964, 31
0965, 66
0966, 69
0967, 75
0968, 60
0969, 79
0970, 7
0971, 30
0972, 33
0973, 56
0974, 16
0975, 91
0976, 71
0977, 25
0978, 92
0979, 72
0980, 66
0981, 74
0982, 94
0983, 11
0984, 27
0985, 24
0986, 8
0987, 68
0988, 85
0989, 6
0990, 10
0991, 31
0992, 64
0993, 72
0994, 51
0995, 7
0996, 8
0997, 46
0998, 26
0999, 1
1000, 95
1001, 6
1002, 73
1003, 1
1004, 89
1005, 63
1006, 87
1007, 74
1008, 20
1009, 70
1010, 25
1011, 71
1012, 85
1013, 27
1014, 23
1015, 61
1016, 11
1017, 59
1018, 71
1019, 42
1020, 26
1021, 27
1022, 91
1023, 51
1024, 19
1025, 64
1026, 39
1027, 60
1028, 5
1029, 33
1030, 96
1031, 60
1032, 41
1033, 59
1034, 96
1035, 64
1036, 88
